clip,segment,actual_type,is_noisy,verdict,conf_synthetic,conf_real,correct
rasa_Hindi_Male_001_multi_cr_ou_hv_no,0,crowd,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_001_multi_cr_ou_hv_no,1,outdoor,True,synthetic,0.9951,0.0049,True
rasa_Hindi_Male_001_multi_cr_ou_hv_no,2,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_001_multi_cr_ou_hv_no,3,genuine,False,synthetic,0.7856,0.2144,False
rasa_Hindi_Male_001_multi_no_no_hu_no,0,genuine,False,real,0.3145,0.6855,True
rasa_Hindi_Male_001_multi_no_no_hu_no,1,genuine,False,real,0.2247,0.7753,True
rasa_Hindi_Male_001_multi_no_no_hu_no,2,human,True,synthetic,0.9996,0.0004,True
rasa_Hindi_Male_001_multi_no_no_hu_no,3,genuine,False,synthetic,0.7856,0.2144,False
rasa_Hindi_Male_001_multi_no_no_ra_no,0,genuine,False,real,0.3145,0.6855,True
rasa_Hindi_Male_001_multi_no_no_ra_no,1,genuine,False,real,0.2247,0.7753,True
rasa_Hindi_Male_001_multi_no_no_ra_no,2,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_001_multi_no_no_ra_no,3,genuine,False,synthetic,0.7856,0.2144,False
rasa_Hindi_Male_001_multi_ra_hu_no_ou,0,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_001_multi_ra_hu_no_ou,1,human,True,synthetic,0.999,0.001,True
rasa_Hindi_Male_001_multi_ra_hu_no_ou,2,genuine,False,synthetic,0.927,0.073,False
rasa_Hindi_Male_001_multi_ra_hu_no_ou,3,outdoor,True,synthetic,0.9997,0.0003,True
rasa_Hindi_Male_002_multi_hv_no_no_no,0,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_002_multi_hv_no_no_no,1,genuine,False,real,0.4177,0.5823,True
rasa_Hindi_Male_002_multi_hv_no_no_no,2,genuine,False,real,0.4067,0.5933,True
rasa_Hindi_Male_002_multi_hv_no_no_no,3,genuine,False,synthetic,0.9858,0.0142,False
rasa_Hindi_Male_002_multi_no_no_no_ou,0,genuine,False,real,0.3342,0.6658,True
rasa_Hindi_Male_002_multi_no_no_no_ou,1,genuine,False,real,0.4177,0.5823,True
rasa_Hindi_Male_002_multi_no_no_no_ou,2,genuine,False,real,0.4067,0.5933,True
rasa_Hindi_Male_002_multi_no_no_no_ou,3,outdoor,True,synthetic,0.9997,0.0003,True
rasa_Hindi_Male_002_multi_no_no_no_ra,0,genuine,False,real,0.3342,0.6658,True
rasa_Hindi_Male_002_multi_no_no_no_ra,1,genuine,False,real,0.4177,0.5823,True
rasa_Hindi_Male_002_multi_no_no_no_ra,2,genuine,False,real,0.4067,0.5933,True
rasa_Hindi_Male_002_multi_no_no_no_ra,3,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_002_multi_no_wn_no_cr,0,genuine,False,real,0.3342,0.6658,True
rasa_Hindi_Male_002_multi_no_wn_no_cr,1,white_noise,True,synthetic,0.9772,0.0228,True
rasa_Hindi_Male_002_multi_no_wn_no_cr,2,genuine,False,real,0.4067,0.5933,True
rasa_Hindi_Male_002_multi_no_wn_no_cr,3,crowd,True,synthetic,0.9972,0.0028,True
rasa_Hindi_Male_003_multi_cr_no_no_no,0,crowd,True,synthetic,0.9995,0.0005,True
rasa_Hindi_Male_003_multi_cr_no_no_no,1,genuine,False,real,0.4177,0.5823,True
rasa_Hindi_Male_003_multi_cr_no_no_no,2,genuine,False,real,0.4067,0.5933,True
rasa_Hindi_Male_003_multi_cr_no_no_no,3,genuine,False,synthetic,0.9858,0.0142,False
rasa_Hindi_Male_003_multi_hv_no_ou_no,0,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_003_multi_hv_no_ou_no,1,genuine,False,real,0.4177,0.5823,True
rasa_Hindi_Male_003_multi_hv_no_ou_no,2,outdoor,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_003_multi_hv_no_ou_no,3,genuine,False,synthetic,0.9858,0.0142,False
rasa_Hindi_Male_003_multi_no_no_ra_no,0,genuine,False,real,0.3342,0.6658,True
rasa_Hindi_Male_003_multi_no_no_ra_no,1,genuine,False,real,0.4177,0.5823,True
rasa_Hindi_Male_003_multi_no_no_ra_no,2,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_003_multi_no_no_ra_no,3,genuine,False,synthetic,0.9858,0.0142,False
rasa_Hindi_Male_003_multi_no_ou_hv_no,0,genuine,False,real,0.3342,0.6658,True
rasa_Hindi_Male_003_multi_no_ou_hv_no,1,outdoor,True,synthetic,0.9968,0.0032,True
rasa_Hindi_Male_003_multi_no_ou_hv_no,2,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_003_multi_no_ou_hv_no,3,genuine,False,synthetic,0.9858,0.0142,False
rasa_Hindi_Male_004_multi_hv_no_no_hu,0,hvac,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_004_multi_hv_no_no_hu,1,genuine,False,synthetic,0.8039,0.1961,False
rasa_Hindi_Male_004_multi_hv_no_no_hu,2,genuine,False,real,0.0851,0.9149,True
rasa_Hindi_Male_004_multi_hv_no_no_hu,3,human,True,synthetic,0.9994,0.0006,True
rasa_Hindi_Male_004_multi_no_hv_no_ou,0,genuine,False,real,0.4085,0.5915,True
rasa_Hindi_Male_004_multi_no_hv_no_ou,1,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_004_multi_no_hv_no_ou,2,genuine,False,real,0.0851,0.9149,True
rasa_Hindi_Male_004_multi_no_hv_no_ou,3,outdoor,True,synthetic,0.9997,0.0003,True
rasa_Hindi_Male_004_multi_no_no_ra_no,0,genuine,False,real,0.4085,0.5915,True
rasa_Hindi_Male_004_multi_no_no_ra_no,1,genuine,False,synthetic,0.8039,0.1961,False
rasa_Hindi_Male_004_multi_no_no_ra_no,2,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_004_multi_no_no_ra_no,3,genuine,False,real,0.2106,0.7894,True
rasa_Hindi_Male_004_multi_wn_no_hv_no,0,white_noise,True,synthetic,0.9742,0.0258,True
rasa_Hindi_Male_004_multi_wn_no_hv_no,1,genuine,False,synthetic,0.8039,0.1961,False
rasa_Hindi_Male_004_multi_wn_no_hv_no,2,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_004_multi_wn_no_hv_no,3,genuine,False,real,0.2106,0.7894,True
rasa_Hindi_Male_005_multi_hu_no_wn_hv,0,human,True,synthetic,0.9998,0.0002,True
rasa_Hindi_Male_005_multi_hu_no_wn_hv,1,genuine,False,synthetic,0.5643,0.4357,False
rasa_Hindi_Male_005_multi_hu_no_wn_hv,2,white_noise,True,synthetic,0.9748,0.0252,True
rasa_Hindi_Male_005_multi_hu_no_wn_hv,3,hvac,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_005_multi_hv_no_no_no,0,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_005_multi_hv_no_no_no,1,genuine,False,synthetic,0.5643,0.4357,False
rasa_Hindi_Male_005_multi_hv_no_no_no,2,genuine,False,real,0.4365,0.5635,True
rasa_Hindi_Male_005_multi_hv_no_no_no,3,genuine,False,synthetic,0.7402,0.2598,False
rasa_Hindi_Male_005_multi_no_no_hv_no,0,genuine,False,real,0.4292,0.5708,True
rasa_Hindi_Male_005_multi_no_no_hv_no,1,genuine,False,synthetic,0.5643,0.4357,False
rasa_Hindi_Male_005_multi_no_no_hv_no,2,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_005_multi_no_no_hv_no,3,genuine,False,synthetic,0.7402,0.2598,False
rasa_Hindi_Male_005_multi_no_wn_hu_ra,0,genuine,False,real,0.4292,0.5708,True
rasa_Hindi_Male_005_multi_no_wn_hu_ra,1,white_noise,True,synthetic,0.9961,0.0039,True
rasa_Hindi_Male_005_multi_no_wn_hu_ra,2,human,True,synthetic,0.999,0.001,True
rasa_Hindi_Male_005_multi_no_wn_hu_ra,3,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_006_multi_no_no_no_hv,0,genuine,False,synthetic,0.5182,0.4818,False
rasa_Hindi_Male_006_multi_no_no_no_hv,1,genuine,False,synthetic,0.8532,0.1468,False
rasa_Hindi_Male_006_multi_no_no_no_hv,2,genuine,False,real,0.4416,0.5584,True
rasa_Hindi_Male_006_multi_no_no_no_hv,3,hvac,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_006_multi_no_no_ra_ou,0,genuine,False,synthetic,0.5182,0.4818,False
rasa_Hindi_Male_006_multi_no_no_ra_ou,1,genuine,False,synthetic,0.8532,0.1468,False
rasa_Hindi_Male_006_multi_no_no_ra_ou,2,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_006_multi_no_no_ra_ou,3,outdoor,True,synthetic,0.9973,0.0027,True
rasa_Hindi_Male_006_multi_no_ra_hu_no,0,genuine,False,synthetic,0.5182,0.4818,False
rasa_Hindi_Male_006_multi_no_ra_hu_no,1,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_006_multi_no_ra_hu_no,2,human,True,synthetic,0.9994,0.0006,True
rasa_Hindi_Male_006_multi_no_ra_hu_no,3,genuine,False,synthetic,0.8703,0.1297,False
rasa_Hindi_Male_006_multi_wn_no_no_no,0,white_noise,True,synthetic,0.99,0.01,True
rasa_Hindi_Male_006_multi_wn_no_no_no,1,genuine,False,synthetic,0.8532,0.1468,False
rasa_Hindi_Male_006_multi_wn_no_no_no,2,genuine,False,real,0.4416,0.5584,True
rasa_Hindi_Male_006_multi_wn_no_no_no,3,genuine,False,synthetic,0.8703,0.1297,False
rasa_Hindi_Male_007_multi_no_cr_no_no,0,genuine,False,real,0.4756,0.5244,True
rasa_Hindi_Male_007_multi_no_cr_no_no,1,crowd,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_007_multi_no_cr_no_no,2,genuine,False,synthetic,0.7103,0.2897,False
rasa_Hindi_Male_007_multi_no_cr_no_no,3,genuine,False,synthetic,0.6662,0.3338,False
rasa_Hindi_Male_007_multi_no_hu_no_ra,0,genuine,False,real,0.4756,0.5244,True
rasa_Hindi_Male_007_multi_no_hu_no_ra,1,human,True,synthetic,0.9996,0.0004,True
rasa_Hindi_Male_007_multi_no_hu_no_ra,2,genuine,False,synthetic,0.7103,0.2897,False
rasa_Hindi_Male_007_multi_no_hu_no_ra,3,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_007_multi_no_no_cr_no,0,genuine,False,real,0.4756,0.5244,True
rasa_Hindi_Male_007_multi_no_no_cr_no,1,genuine,False,synthetic,0.6208,0.3792,False
rasa_Hindi_Male_007_multi_no_no_cr_no,2,crowd,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_007_multi_no_no_cr_no,3,genuine,False,synthetic,0.6662,0.3338,False
rasa_Hindi_Male_007_multi_no_no_no_hu,0,genuine,False,real,0.4756,0.5244,True
rasa_Hindi_Male_007_multi_no_no_no_hu,1,genuine,False,synthetic,0.6208,0.3792,False
rasa_Hindi_Male_007_multi_no_no_no_hu,2,genuine,False,synthetic,0.7103,0.2897,False
rasa_Hindi_Male_007_multi_no_no_no_hu,3,human,True,synthetic,0.9993,0.0007,True
rasa_Hindi_Male_008_multi_hu_ou_no_no,0,human,True,synthetic,0.9993,0.0007,True
rasa_Hindi_Male_008_multi_hu_ou_no_no,1,outdoor,True,synthetic,0.9997,0.0003,True
rasa_Hindi_Male_008_multi_hu_ou_no_no,2,genuine,False,real,0.3119,0.6881,True
rasa_Hindi_Male_008_multi_hu_ou_no_no,3,genuine,False,synthetic,0.8187,0.1813,False
rasa_Hindi_Male_008_multi_no_cr_no_no,0,genuine,False,synthetic,0.8397,0.1603,False
rasa_Hindi_Male_008_multi_no_cr_no_no,1,crowd,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_008_multi_no_cr_no_no,2,genuine,False,real,0.3119,0.6881,True
rasa_Hindi_Male_008_multi_no_cr_no_no,3,genuine,False,synthetic,0.8187,0.1813,False
rasa_Hindi_Male_008_multi_no_ra_cr_wn,0,genuine,False,synthetic,0.8397,0.1603,False
rasa_Hindi_Male_008_multi_no_ra_cr_wn,1,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_008_multi_no_ra_cr_wn,2,crowd,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_008_multi_no_ra_cr_wn,3,white_noise,True,synthetic,0.9962,0.0038,True
rasa_Hindi_Male_008_multi_ra_no_ou_hv,0,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_008_multi_ra_no_ou_hv,1,genuine,False,real,0.3809,0.6191,True
rasa_Hindi_Male_008_multi_ra_no_ou_hv,2,outdoor,True,synthetic,0.9991,0.0009,True
rasa_Hindi_Male_008_multi_ra_no_ou_hv,3,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_009_multi_cr_no_no_ra,0,crowd,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_009_multi_cr_no_no_ra,1,genuine,False,synthetic,0.6859,0.3141,False
rasa_Hindi_Male_009_multi_cr_no_no_ra,2,genuine,False,synthetic,0.685,0.315,False
rasa_Hindi_Male_009_multi_cr_no_no_ra,3,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_009_multi_no_no_hv_ra,0,genuine,False,synthetic,0.6378,0.3622,False
rasa_Hindi_Male_009_multi_no_no_hv_ra,1,genuine,False,synthetic,0.6859,0.3141,False
rasa_Hindi_Male_009_multi_no_no_hv_ra,2,hvac,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_009_multi_no_no_hv_ra,3,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_009_multi_ra_no_ou_no,0,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_009_multi_ra_no_ou_no,1,genuine,False,synthetic,0.6859,0.3141,False
rasa_Hindi_Male_009_multi_ra_no_ou_no,2,outdoor,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_009_multi_ra_no_ou_no,3,genuine,False,synthetic,0.8781,0.1219,False
rasa_Hindi_Male_009_multi_wn_ou_no_cr,0,white_noise,True,synthetic,0.9837,0.0163,True
rasa_Hindi_Male_009_multi_wn_ou_no_cr,1,outdoor,True,synthetic,0.9942,0.0058,True
rasa_Hindi_Male_009_multi_wn_ou_no_cr,2,genuine,False,synthetic,0.685,0.315,False
rasa_Hindi_Male_009_multi_wn_ou_no_cr,3,crowd,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_010_multi_no_hu_no_no,0,genuine,False,real,0.2043,0.7957,True
rasa_Hindi_Male_010_multi_no_hu_no_no,1,human,True,synthetic,0.9996,0.0004,True
rasa_Hindi_Male_010_multi_no_hu_no_no,2,genuine,False,synthetic,0.7447,0.2553,False
rasa_Hindi_Male_010_multi_no_hu_no_no,3,genuine,False,synthetic,0.6194,0.3806,False
rasa_Hindi_Male_010_multi_no_ou_no_no,0,genuine,False,real,0.2043,0.7957,True
rasa_Hindi_Male_010_multi_no_ou_no_no,1,outdoor,True,synthetic,0.9828,0.0172,True
rasa_Hindi_Male_010_multi_no_ou_no_no,2,genuine,False,synthetic,0.7447,0.2553,False
rasa_Hindi_Male_010_multi_no_ou_no_no,3,genuine,False,synthetic,0.6194,0.3806,False
rasa_Hindi_Male_010_multi_no_wn_ou_hu,0,genuine,False,real,0.2043,0.7957,True
rasa_Hindi_Male_010_multi_no_wn_ou_hu,1,white_noise,True,synthetic,0.9871,0.0129,True
rasa_Hindi_Male_010_multi_no_wn_ou_hu,2,outdoor,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_010_multi_no_wn_ou_hu,3,human,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_010_multi_wn_no_no_hu,0,white_noise,True,synthetic,0.9879,0.0121,True
rasa_Hindi_Male_010_multi_wn_no_no_hu,1,genuine,False,synthetic,0.6666,0.3334,False
rasa_Hindi_Male_010_multi_wn_no_no_hu,2,genuine,False,synthetic,0.7447,0.2553,False
rasa_Hindi_Male_010_multi_wn_no_no_hu,3,human,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_011_multi_hv_no_no_wn,0,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_011_multi_hv_no_no_wn,1,genuine,False,real,0.18,0.82,True
rasa_Hindi_Male_011_multi_hv_no_no_wn,2,genuine,False,synthetic,0.7173,0.2827,False
rasa_Hindi_Male_011_multi_hv_no_no_wn,3,white_noise,True,synthetic,0.9824,0.0176,True
rasa_Hindi_Male_011_multi_no_no_wn_no,0,genuine,False,synthetic,0.7783,0.2217,False
rasa_Hindi_Male_011_multi_no_no_wn_no,1,genuine,False,real,0.18,0.82,True
rasa_Hindi_Male_011_multi_no_no_wn_no,2,white_noise,True,synthetic,0.9935,0.0065,True
rasa_Hindi_Male_011_multi_no_no_wn_no,3,genuine,False,synthetic,0.8153,0.1847,False
rasa_Hindi_Male_011_multi_no_wn_no_hv,0,genuine,False,synthetic,0.7783,0.2217,False
rasa_Hindi_Male_011_multi_no_wn_no_hv,1,white_noise,True,synthetic,0.9881,0.0119,True
rasa_Hindi_Male_011_multi_no_wn_no_hv,2,genuine,False,synthetic,0.7173,0.2827,False
rasa_Hindi_Male_011_multi_no_wn_no_hv,3,hvac,True,synthetic,0.9995,0.0005,True
rasa_Hindi_Male_011_multi_ou_wn_hu_no,0,outdoor,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_011_multi_ou_wn_hu_no,1,white_noise,True,synthetic,0.9882,0.0118,True
rasa_Hindi_Male_011_multi_ou_wn_hu_no,2,human,True,synthetic,0.9997,0.0003,True
rasa_Hindi_Male_011_multi_ou_wn_hu_no,3,genuine,False,synthetic,0.8153,0.1847,False
rasa_Hindi_Male_012_multi_cr_wn_no_hu,0,crowd,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_012_multi_cr_wn_no_hu,1,white_noise,True,synthetic,0.9908,0.0092,True
rasa_Hindi_Male_012_multi_cr_wn_no_hu,2,genuine,False,synthetic,0.9919,0.0081,False
rasa_Hindi_Male_012_multi_cr_wn_no_hu,3,human,True,synthetic,0.9998,0.0002,True
rasa_Hindi_Male_012_multi_hu_no_wn_no,0,human,True,synthetic,0.9997,0.0003,True
rasa_Hindi_Male_012_multi_hu_no_wn_no,1,genuine,False,synthetic,0.99,0.01,False
rasa_Hindi_Male_012_multi_hu_no_wn_no,2,white_noise,True,synthetic,0.9948,0.0052,True
rasa_Hindi_Male_012_multi_hu_no_wn_no,3,genuine,False,synthetic,0.5002,0.4998,False
rasa_Hindi_Male_012_multi_no_hv_no_ou,0,genuine,False,synthetic,0.5389,0.4611,False
rasa_Hindi_Male_012_multi_no_hv_no_ou,1,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_012_multi_no_hv_no_ou,2,genuine,False,synthetic,0.9919,0.0081,False
rasa_Hindi_Male_012_multi_no_hv_no_ou,3,outdoor,True,synthetic,0.9984,0.0016,True
rasa_Hindi_Male_012_multi_wn_no_no_ou,0,white_noise,True,synthetic,0.9967,0.0033,True
rasa_Hindi_Male_012_multi_wn_no_no_ou,1,genuine,False,synthetic,0.99,0.01,False
rasa_Hindi_Male_012_multi_wn_no_no_ou,2,genuine,False,synthetic,0.9919,0.0081,False
rasa_Hindi_Male_012_multi_wn_no_no_ou,3,outdoor,True,synthetic,0.9945,0.0055,True
rasa_Hindi_Male_013_multi_hu_cr_ra_no,0,human,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_013_multi_hu_cr_ra_no,1,crowd,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_013_multi_hu_cr_ra_no,2,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_013_multi_hu_cr_ra_no,3,genuine,False,synthetic,0.9555,0.0445,False
rasa_Hindi_Male_013_multi_hv_wn_ou_no,0,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_013_multi_hv_wn_ou_no,1,white_noise,True,synthetic,0.9858,0.0142,True
rasa_Hindi_Male_013_multi_hv_wn_ou_no,2,outdoor,True,synthetic,0.9979,0.0021,True
rasa_Hindi_Male_013_multi_hv_wn_ou_no,3,genuine,False,synthetic,0.9555,0.0445,False
rasa_Hindi_Male_013_multi_no_no_no_hv,0,genuine,False,real,0.3672,0.6328,True
rasa_Hindi_Male_013_multi_no_no_no_hv,1,genuine,False,synthetic,0.6381,0.3619,False
rasa_Hindi_Male_013_multi_no_no_no_hv,2,genuine,False,synthetic,0.5359,0.4641,False
rasa_Hindi_Male_013_multi_no_no_no_hv,3,hvac,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_013_multi_ou_no_cr_no,0,outdoor,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_013_multi_ou_no_cr_no,1,genuine,False,synthetic,0.6381,0.3619,False
rasa_Hindi_Male_013_multi_ou_no_cr_no,2,crowd,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_013_multi_ou_no_cr_no,3,genuine,False,synthetic,0.9555,0.0445,False
rasa_Hindi_Male_014_multi_hu_no_ou_no,0,human,True,synthetic,0.9997,0.0003,True
rasa_Hindi_Male_014_multi_hu_no_ou_no,1,genuine,False,synthetic,0.6131,0.3869,False
rasa_Hindi_Male_014_multi_hu_no_ou_no,2,outdoor,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_014_multi_hu_no_ou_no,3,genuine,False,synthetic,0.6679,0.3321,False
rasa_Hindi_Male_014_multi_hu_no_ou_ra,0,human,True,synthetic,0.9998,0.0002,True
rasa_Hindi_Male_014_multi_hu_no_ou_ra,1,genuine,False,synthetic,0.6131,0.3869,False
rasa_Hindi_Male_014_multi_hu_no_ou_ra,2,outdoor,True,synthetic,0.9998,0.0002,True
rasa_Hindi_Male_014_multi_hu_no_ou_ra,3,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_014_multi_hv_no_ra_wn,0,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_014_multi_hv_no_ra_wn,1,genuine,False,synthetic,0.6131,0.3869,False
rasa_Hindi_Male_014_multi_hv_no_ra_wn,2,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_014_multi_hv_no_ra_wn,3,white_noise,True,synthetic,0.9918,0.0082,True
rasa_Hindi_Male_014_multi_no_ou_no_no,0,genuine,False,synthetic,0.9419,0.0581,False
rasa_Hindi_Male_014_multi_no_ou_no_no,1,outdoor,True,synthetic,0.9999,0.0001,True
rasa_Hindi_Male_014_multi_no_ou_no_no,2,genuine,False,synthetic,0.735,0.265,False
rasa_Hindi_Male_014_multi_no_ou_no_no,3,genuine,False,synthetic,0.6679,0.3321,False
rasa_Hindi_Male_015_multi_no_no_no_ou,0,genuine,False,real,0.1775,0.8225,True
rasa_Hindi_Male_015_multi_no_no_no_ou,1,genuine,False,synthetic,0.5508,0.4492,False
rasa_Hindi_Male_015_multi_no_no_no_ou,2,genuine,False,synthetic,0.9048,0.0952,False
rasa_Hindi_Male_015_multi_no_no_no_ou,3,outdoor,True,synthetic,0.9998,0.0002,True
rasa_Hindi_Male_015_multi_no_ra_no_hv,0,genuine,False,real,0.1775,0.8225,True
rasa_Hindi_Male_015_multi_no_ra_no_hv,1,rain,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_015_multi_no_ra_no_hv,2,genuine,False,synthetic,0.9048,0.0952,False
rasa_Hindi_Male_015_multi_no_ra_no_hv,3,hvac,True,synthetic,1.0,0.0,True
rasa_Hindi_Male_015_multi_no_wn_hu_cr,0,genuine,False,real,0.1775,0.8225,True
rasa_Hindi_Male_015_multi_no_wn_hu_cr,1,white_noise,True,synthetic,0.9929,0.0071,True
rasa_Hindi_Male_015_multi_no_wn_hu_cr,2,human,True,synthetic,0.9997,0.0003,True
