file,gt_assignment,is_manipulated,n_noisy_segs,dominant_type,dominant_conf,dominant_correct,seg0_ratio,seg0_type,seg0_conf,seg1_ratio,seg1_type,seg1_conf,seg2_ratio,seg2_type,seg2_conf,seg3_ratio,seg3_type,seg3_conf
rasa_Hindi_Male_001_multi_cr_ou_hv_no.wav,s0=crowd; s1=outdoor; s2=hvac,True,3,crowd,0.7899,True,6.7317,crowd,1.0,2.6496,human,0.2805,1.9987,hvac,1.0,0.0013,genuine,0.0
rasa_Hindi_Male_001_multi_no_no_hu_no.wav,s2=human,True,2,human,4.0599,True,1.5209,genuine,0.0,4.1761,crowd,1.0,3359.0218,human,1.0,0.4791,genuine,0.0
rasa_Hindi_Male_001_multi_no_no_ra_no.wav,s2=rain,True,2,rain,4.2501,True,1.5209,genuine,0.0,4.1761,crowd,1.0,4914.8907,rain,1.0,0.4791,genuine,0.0
rasa_Hindi_Male_001_multi_ra_hu_no_ou.wav,s0=rain; s1=human; s3=outdoor,True,3,rain,1.0905,True,25.348,rain,1.0,21.6797,human,1.0,0.0039,genuine,0.0,1.9961,outdoor,1.0
rasa_Hindi_Male_002_multi_hv_no_no_no.wav,s0=hvac,True,2,hvac,3.1107,True,502.4431,hvac,1.0,1.8127,genuine,0.0,2.0249,crowd,1.0,0.1873,genuine,0.0
rasa_Hindi_Male_002_multi_no_no_no_ou.wav,s3=outdoor,True,1,outdoor,5.5541,True,0.4948,genuine,0.0,1.5052,genuine,0.0,1.6815,genuine,0.0,257.2925,outdoor,1.0
rasa_Hindi_Male_002_multi_no_no_no_ra.wav,s3=rain,True,1,rain,7.9773,True,0.4948,genuine,0.0,1.5052,genuine,0.0,1.6815,genuine,0.0,2913.0362,rain,1.0
rasa_Hindi_Male_002_multi_no_wn_no_cr.wav,s1=white_noise; s3=crowd,True,2,white_noise,3.7172,True,0.4547,genuine,0.0,1692.3226,white_noise,1.0,1.5453,genuine,0.0,1477.796,hvac,1.0
rasa_Hindi_Male_003_multi_cr_no_no_no.wav,s0=crowd,True,2,crowd,3.4466,True,324.781,crowd,1.0,1.8127,genuine,0.0,2.0249,crowd,1.0,0.1873,genuine,0.0
rasa_Hindi_Male_003_multi_hv_no_ou_no.wav,s0=hvac; s2=outdoor,True,2,outdoor,3.4883,True,489.5036,hvac,1.0,1.8127,genuine,0.0,1070.2982,outdoor,1.0,0.1873,genuine,0.0
rasa_Hindi_Male_003_multi_no_no_ra_no.wav,s2=rain,True,2,rain,4.7282,True,1.5216,genuine,0.0,4.6293,hvac,0.9613,11961.693,rain,1.0,0.4784,genuine,0.0
rasa_Hindi_Male_003_multi_no_ou_hv_no.wav,s1=outdoor; s2=hvac,True,2,hvac,4.1717,True,1.5216,genuine,0.0,1550.3962,white_noise,0.1951,1723.8633,hvac,1.0,0.4784,genuine,0.0
rasa_Hindi_Male_004_multi_hv_no_no_hu.wav,s0=hvac; s3=human,True,2,human,3.6821,True,392.6161,hvac,1.0,0.6074,genuine,0.0,1.3926,genuine,0.0,1577.4919,human,1.0
rasa_Hindi_Male_004_multi_no_hv_no_ou.wav,s1=hvac; s3=outdoor,True,2,outdoor,2.94,True,0.8779,genuine,0.0,232.8472,hvac,1.0,1.1221,genuine,0.0,356.8447,outdoor,1.0
